iter	Passed	Remaining
320	1023	2164
321	1027	2162
322	1030	2158
323	1032	2154
324	1035	2150
325	1038	2147
326	1042	2145
327	1045	2142
328	1048	2138
329	1051	2135
330	1054	2131
331	1058	2128
332	1062	2127
333	1065	2123
334	1068	2121
335	1071	2117
336	1074	2114
337	1077	2110
338	1080	2107
339	1083	2103
340	1086	2099
341	1089	2096
342	1092	2093
343	1095	2089
344	1099	2087
345	1102	2083
346	1106	2081
347	1109	2078
348	1112	2075
349	1116	2073
350	1119	2069
351	1122	2066
352	1125	2063
353	1128	2059
354	1132	2056
355	1135	2053
356	1139	2051
357	1142	2049
358	1146	2047
359	1149	2043
360	1152	2039
361	1156	2037
362	1158	2033
363	1162	2030
364	1164	2026
365	1167	2022
366	1171	2021
367	1174	2017
368	1177	2013
369	1180	2010
370	1183	2006
371	1186	2003
372	1189	1999
373	1192	1996
374	1195	1992
375	1198	1988
376	1201	1985
377	1204	1982
378	1208	1979
379	1212	1977
380	1214	1973
381	1218	1970
382	1221	1967
383	1224	1964
384	1228	1962
385	1231	1958
386	1234	1955
387	1237	1952
388	1240	1949
389	1243	1945
390	1246	1941
391	1250	1938
392	1252	1935
393	1256	1931
394	1259	1928
395	1261	1924
396	1264	1921
397	1267	1917
398	1270	1913
399	1274	1911
400	1276	1907
401	1279	1903
402	1282	1900
403	1285	1896
404	1288	1892
405	1291	1890
406	1294	1886
407	1298	1883
408	1300	1879
409	1303	1876
410	1306	1872
411	1309	1868
412	1312	1865
413	1315	1862
414	1318	1858
415	1321	1855
416	1324	1851
417	1327	1848
418	1330	1845
419	1333	1841
420	1337	1839
421	1340	1835
422	1343	1832
423	1346	1829
424	1349	1825
425	1352	1822
426	1355	1819
427	1358	1815
428	1362	1813
429	1364	1809
430	1367	1805
431	1371	1802
432	1373	1799
433	1377	1795
434	1379	1792
435	1382	1788
436	1385	1784
437	1388	1781
438	1391	1777
439	1394	1774
440	1397	1771
441	1401	1769
442	1404	1766
443	1408	1763
444	1411	1760
445	1414	1757
446	1418	1754
447	1421	1750
448	1423	1747
449	1426	1743
450	1429	1740
451	1432	1737
452	1436	1734
453	1439	1731
454	1444	1730
455	1448	1727
456	1451	1724
457	1453	1720
458	1457	1717
459	1460	1713
460	1463	1710
461	1466	1707
462	1468	1703
463	1471	1700
464	1475	1697
465	1477	1693
466	1481	1690
467	1484	1687
468	1487	1683
469	1490	1680
470	1493	1677
471	1497	1674
472	1500	1671
473	1503	1668
474	1506	1664
475	1508	1660
476	1511	1657
477	1514	1654
478	1517	1650
479	1520	1647
480	1523	1644
481	1526	1640
482	1529	1637
483	1532	1634
484	1535	1630
485	1538	1627
486	1542	1624
487	1545	1621
488	1547	1617
489	1551	1614
490	1554	1611
491	1557	1607
492	1560	1604
493	1563	1601
494	1565	1597
495	1569	1594
496	1571	1590
497	1574	1587
498	1577	1583
499	1580	1580
500	1583	1576
501	1586	1573
502	1589	1570
503	1592	1566
504	1595	1564
505	1598	1560
506	1601	1557
507	1604	1553
508	1607	1550
509	1610	1547
510	1614	1544
511	1617	1541
512	1620	1538
513	1623	1534
514	1625	1531
515	1628	1527
516	1631	1524
517	1635	1521
518	1638	1518
519	1641	1515
520	1644	1511
521	1647	1508
522	1650	1505
523	1652	1501
524	1655	1497
525	1658	1494
526	1661	1491
527	1664	1487
528	1667	1484
529	1669	1480
530	1673	1477
531	1675	1474
532	1678	1471
533	1681	1467
534	1684	1464
535	1687	1461
536	1690	1457
537	1693	1453
538	1695	1450
539	1698	1447
540	1701	1443
541	1704	1440
542	1707	1437
543	1710	1433
544	1714	1431
545	1717	1427
546	1720	1424
547	1723	1421
548	1726	1417
549	1729	1414
550	1731	1411
551	1734	1407
552	1737	1404
553	1741	1401
554	1745	1399
555	1748	1396
556	1750	1392
557	1754	1389
558	1756	1385
559	1759	1382
560	1763	1379
561	1765	1376
562	1768	1372
563	1771	1369
564	1773	1365
565	1776	1362
566	1779	1359
567	1782	1355
568	1785	1352
569	1788	1349
570	1791	1346
571	1794	1343
572	1797	1339
573	1800	1336
574	1803	1333
575	1806	1330
576	1810	1327
577	1814	1324
578	1817	1321
579	1820	1318
580	1823	1314
581	1827	1312
582	1829	1308
583	1833	1305
584	1836	1302
585	1838	1299
586	1842	1296
587	1845	1293
588	1848	1290
589	1851	1286
590	1854	1283
591	1857	1280
592	1860	1276
593	1863	1273
594	1866	1270
595	1869	1267
596	1872	1264
597	1875	1260
598	1878	1257
599	1881	1254
600	1883	1250
601	1886	1247
602	1889	1243
603	1892	1240
604	1895	1237
605	1897	1234
606	1900	1230
607	1905	1228
608	1909	1225
609	1912	1222
610	1915	1219
611	1918	1216
612	1921	1213
613	1925	1210
614	1928	1207
615	1931	1203
616	1934	1200
617	1937	1197
618	1940	1194
619	1943	1191
620	1947	1188
621	1950	1185
622	1954	1182
623	1957	1179
624	1960	1176
625	1962	1172
626	1965	1169
627	1968	1166
628	1971	1162
629	1974	1159
630	1977	1156
631	1981	1153
632	1984	1150
633	1987	1147
634	1989	1143
635	1993	1141
636	1996	1137
637	1999	1134
638	2002	1131
639	2005	1127
640	2008	1124
641	2011	1121
642	2015	1119
643	2020	1116
644	2025	1114
645	2029	1111
646	2032	1108
647	2035	1105
648	2037	1102
649	2040	1098
650	2043	1095
651	2046	1092
652	2049	1089
653	2052	1086
654	2055	1082
655	2059	1079
656	2061	1076
657	2064	1073
658	2067	1069
659	2070	1066
660	2073	1063
661	2076	1059
662	2079	1056
663	2081	1053
664	2084	1050
665	2087	1046
666	2090	1043
667	2093	1040
668	2097	1037
669	2100	1034
670	2103	1031
671	2106	1028
672	2109	1024
673	2112	1021
674	2115	1018
675	2118	1015
676	2121	1011
677	2124	1008
678	2127	1005
679	2130	1002
680	2132	998
681	2135	995
682	2139	992
683	2142	989
684	2146	987
685	2149	983
686	2152	980
687	2155	977
688	2158	974
689	2161	971
690	2164	967
691	2167	964
692	2171	961
693	2173	958
694	2177	955
695	2180	952
696	2183	949
697	2186	946
698	2189	942
699	2192	939
700	2196	936
701	2199	933
702	2202	930
703	2205	927
704	2209	924
705	2213	921
706	2216	918
707	2219	915
708	2222	912
709	2225	909
710	2228	905
711	2231	902
712	2234	899
713	2236	895
714	2239	892
715	2242	889
716	2246	886
717	2249	883
718	2252	880
719	2256	877
720	2259	874
721	2262	871
722	2265	867
723	2267	864
724	2270	861
725	2273	857
726	2275	854
727	2278	851
728	2281	848
729	2284	844
730	2287	841
731	2290	838
732	2293	835
733	2296	832
734	2299	829
735	2302	825
736	2305	822
737	2308	819
738	2311	816
739	2314	813
740	2317	809
741	2319	806
742	2322	803
743	2325	800
744	2329	797
745	2332	794
746	2336	791
747	2339	788
748	2342	785
749	2346	782
750	2349	779
751	2352	775
752	2355	772
753	2359	769
754	2364	767
755	2367	764
756	2371	761
757	2374	758
758	2377	754
759	2380	751
760	2383	748
761	2386	745
762	2389	742
763	2392	739
764	2395	735
765	2399	733
766	2402	729
767	2405	726
768	2409	723
769	2412	720
770	2415	717
771	2419	714
772	2421	711
773	2424	707
774	2427	704
775	2430	701
776	2433	698
777	2436	695
778	2439	692
779	2442	689
780	2446	685
781	2449	682
782	2453	679
783	2455	676
784	2459	673
785	2461	670
786	2464	667
787	2467	663
788	2470	660
789	2473	657
790	2476	654
791	2479	651
792	2482	647
793	2485	644
794	2488	641
795	2491	638
796	2494	635
797	2497	632
798	2500	629
799	2503	625
800	2505	622
801	2509	619
802	2512	616
803	2514	613
804	2518	610
805	2521	606
806	2524	603
807	2528	600
808	2530	597
809	2533	594
810	2536	591
811	2538	587
812	2541	584
813	2544	581
814	2547	578
815	2550	575
816	2555	572
817	2559	569
818	2562	566
819	2566	563
820	2569	560
821	2572	557
822	2575	553
823	2578	550
824	2582	547
825	2585	544
826	2588	541
827	2593	538
828	2596	535
829	2599	532
830	2602	529
831	2606	526
832	2609	523
833	2612	519
834	2615	516
835	2618	513
836	2622	510
837	2625	507
838	2629	504
839	2633	501
840	2636	498
841	2639	495
842	2642	492
843	2645	488
844	2648	485
845	2651	482
846	2654	479
847	2657	476
848	2660	473
849	2663	469
850	2665	466
851	2668	463
852	2672	460
853	2675	457
854	2678	454
855	2681	451
856	2684	447
857	2688	444
858	2691	441
859	2694	438
860	2697	435
861	2700	432
862	2703	429
863	2705	425
864	2708	422
865	2711	419
866	2714	416
867	2717	413
868	2720	410
869	2723	406
870	2726	403
871	2728	400
872	2731	397
873	2734	394
874	2737	391
875	2739	387
876	2743	384
877	2747	381
878	2751	378
879	2755	375
880	2759	372
881	2762	369
882	2764	366
883	2767	363
884	2770	359
885	2773	356
886	2776	353
887	2778	350
888	2782	347
889	2786	344
890	2791	341
891	2796	338
892	2800	335
893	2803	332
894	2807	329
895	2810	326
896	2813	323
897	2816	319
898	2819	316
899	2822	313
900	2825	310
901	2828	307
902	2831	304
903	2834	301
904	2837	297
905	2840	294
906	2843	291
907	2847	288
908	2851	285
909	2854	282
910	2858	279
911	2863	276
912	2867	273
913	2871	270
914	2874	267
915	2878	263
916	2881	260
917	2884	257
918	2888	254
919	2891	251
920	2894	248
921	2898	245
922	2902	242
923	2905	239
924	2909	235
925	2912	232
926	2915	229
927	2919	226
928	2922	223
929	2925	220
930	2928	217
931	2932	213
932	2935	210
933	2938	207
934	2941	204
935	2945	201
936	2948	198
937	2951	195
938	2954	191
939	2957	188
940	2961	185
941	2965	182
942	2968	179
943	2971	176
944	2977	173
945	2981	170
946	2984	167
947	2988	163
948	2991	160
949	2994	157
950	2998	154
951	3001	151
952	3004	148
953	3008	145
954	3011	141
955	3016	138
956	3020	135
957	3024	132
958	3027	129
959	3031	126
960	3034	123
961	3038	120
962	3041	116
963	3044	113
964	3047	110
965	3050	107
966	3054	104
967	3057	101
968	3061	97
969	3064	94
970	3067	91
971	3070	88
972	3073	85
973	3076	82
974	3079	78
975	3082	75
976	3084	72
977	3087	69
978	3090	66
979	3094	63
980	3097	59
981	3101	56
982	3103	53
983	3106	50
984	3109	47
985	3112	44
986	3115	41
987	3117	37
988	3120	34
989	3124	31
990	3127	28
991	3130	25
992	3133	22
993	3136	18
994	3139	15
995	3141	12
996	3144	9
997	3147	6
998	3150	3
999	3153	0
